ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
943,Electrical Engineering,Male,Pakistani,Sindh,8th,Intermediate,MS,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,79,87,3.17,1.9,2.1,D,2.38,D,Urdu,Mix of both whiteboard and power point,Middle row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,4,3,3,3,3,3,3,1,Group study,Late night,7~8 hours,
944,Electrical Engineering,Female,Pakistani,Punjab,8th,BS,MS,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,88.09,83.54,2.93,2.33,2.22,D,2.49,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,2,2,3,3,2,2,1,5,4,2,4,4,5,5,4,4,3,5,3,4,2,3,1,3,2,3,4,4,5,3,5,2,5,5,2,4,3,4,4,3,2,Independent study,Late night,1~2 hours,
945,Electrical Engineering,Male,Pakistani,Punjab,8th,Matric,Below Matric,Below 30K,NO,NO,4,Matric,FSc/ ICS,90,84,3.21,3,2.67,C,2.96,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,3,4,3,3,3,2,1,4,3,4,3,4,5,4,4,5,3,4,5,4,5,3,5,4,3,4,3,4,5,2,4,3,4,4,3,3,4,2,3,4,2,Group study,Day time,1~2 hours,
946,Electrical Engineering,Male,Pakistani,KPK,8th,MS,BS,Between 2Lac~3Lac,YES,NO,3,Matric,FSc/ ICS,94,85,2.88,2.66,2.3,D,2.61,C,Mix of both English and Urdu,Power point,Middle row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,2,3,2,2,3,2,4,2,3,3,4,4,4,4,4,4,4,3,4,4,4,2,3,3,3,3,3,4,3,4,3,4,4,2,4,3,4,5,4,4,4,3,Group study,Late night,3~4 hours,
947,Material Science Engineering,Male,Pakistani,Sindh,8th,MS,Below Matric,Below 30K,YES,YES,4,Matric,FSc/ ICS,89.88,87.88,2.63,2,2.2,D,2.27,D,Mix of both English and Urdu,Whiteboard,First row,1 hour,Male instructor,Not more than 30,I take notes during lecture,5,5,5,5,5,5,3,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,5,5,5,5,Independent study,Late night,3~4 hours,
948,Electrical Engineering,Female,Pakistani,Punjab,8th,MS,BS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,90.6,88.18,3.05,2.87,2.78,C,2.90,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,4,4,4,4,4,4,4,4,5,5,4,5,2,5,5,5,5,Independent study,Late night,3~4 hours,
949,Electrical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Intermediate,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,87.45,85.86,3.11,2.72,3.16,B,2.99,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,2,1,2,2,1,1,1,4,4,3,3,4,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,4,2,4,4,4,3,3,3,2,Independent study,Late night,3~4 hours,
950,Electrical Engineering,Male,Pakistani,Punjab,8th,BS,BS,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,93.54,83.63,2.96,2.92,2.96,C,2.95,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,4,4,4,4,5,4,4,1,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,1,4,4,4,4,Independent study,Late night,5~6 hours,
951,Electrical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Below Matric,Between 50K~1Lac,NO,YES,1,Matric,FSc/ ICS,84.18,86,3.07,2.89,3.69,A,3.21,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,2,2,2,2,3,3,5,2,1,3,5,5,5,5,5,5,1,5,3,5,5,2,4,4,4,3,4,4,4,4,4,4,5,5,5,2,5,5,1,5,2,1,Independent study,Late night,5~6 hours,
952,Electrical Engineering,Female,Pakistani,Federal/ Capital,8th,MS,MS,Between 2Lac~3Lac,NO,NO,4,Cambridge,A-Level,87,86,3.28,3.14,3.2,B,3.21,B,English,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,2,2,2,2,2,2,1,2,2,3,4,3,4,4,5,5,2,4,4,4,2,2,3,4,4,4,4,4,4,4,4,5,5,5,2,4,4,4,4,4,4,Independent study,Late night,More than 8 hours,
953,Electrical Engineering,Male,Pakistani,Punjab,8th,BS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,93.81,82.47,2.79,2.5,2.41,D,2.57,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,2,5,3,1,3,4,3,4,1,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,4,4,2,3,3,2,3,1,3,5,1,5,3,3,5,5,3,Independent study,Day time,3~4 hours,
954,Electrical Engineering,Female,Pakistani,Punjab,8th,BS,Intermediate,Between 30K~50K,NO,NO,5,Matric,FSc/ ICS,86,84,3.19,3.2,3.37,B,3.25,B,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,1,1,1,1,1,1,1,1,3,4,5,5,5,5,1,1,1,1,1,1,1,5,2,1,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,4,1,1,Independent study,Day time,1~2 hours,
955,Electrical Engineering,Female,Pakistani,Punjab,8th,Intermediate,Below Matric,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,85.54,88.27,2.72,2.74,2.74,C,2.73,C,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,2,4,3,2,2,2,2,2,2,3,4,1,4,2,3,5,4,4,3,5,3,4,3,4,3,4,2,3,4,2,4,4,4,3,5,4,4,4,5,3,5,4,3,Independent study,Day time,3~4 hours,
956,Electrical Engineering,Male,Pakistani,Punjab,8th,Below Matric,Intermediate,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,90,85,2.89,2.75,2.01,D,2.55,C,Language does not effect my performance,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,4,3,3,3,3,3,3,2,3,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,2,3,4,4,4,5,5,5,5,Independent study,Late night,3~4 hours,
957,Electrical Engineering,Female,Pakistani,KPK,4th,MS,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,95.18,92.54,2.98,2.67,3.12,B,2.92,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,2,3,2,2,2,2,2,2,2,3,3,4,4,4,4,3,5,5,4,5,4,4,2,2,4,5,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,2,Independent study,Late night,More than 8 hours,
958,Electrical Engineering,Male,Pakistani,Federal/ Capital,4th,Intermediate,Intermediate,Between 50K~1Lac,NO,YES,4,Matric,FSc/ ICS,83,83,3.1,2.78,2.84,C,2.90,C,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Female instructor,Number of students does not effect my performance,I take notes during lecture,4,3,3,4,2,3,3,2,1,5,4,4,3,3,4,1,3,1,5,1,1,1,3,4,5,3,3,1,4,3,3,3,3,4,4,3,4,5,4,3,4,5,2,Independent study,Day time,3~4 hours,
959,Electrical Engineering,Male,Pakistani,Punjab,4th,Intermediate,MS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,86.4,79.9,2.5,2.8,2.6,C,2.64,C,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,3,2,1,3,1,2,2,4,3,2,3,4,4,5,4,5,4,5,4,4,3,3,4,3,3,3,2,3,4,4,4,4,4,4,2,4,4,4,5,4,4,Independent study,Late night,1~2 hours,
960,Electrical Engineering,Male,Pakistani,Punjab,4th,BS,Intermediate,Between 30K~50K,NO,YES,4,Matric,FSc/ ICS,74.9,75.18,2.89,2.26,2.55,C,2.56,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,3,4,2,2,3,2,2,2,2,1,4,4,3,5,3,2,2,4,3,4,2,3,5,4,3,2,4,3,5,4,3,4,5,4,4,4,4,5,5,3,5,Independent study,Late night,3~4 hours,
961,Electrical Engineering,Male,Pakistani,Punjab,4th,Below Matric,Intermediate,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,86,80,2.35,3.04,2.04,D,2.49,D,Urdu,Mix of both whiteboard and power point,First row,1 hour,Female instructor,Not more than 30,Notes taking has no relation with my academic performance,1,2,3,3,3,5,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5,4,4,4,4,5,5,3,5,5,2,5,1,5,5,5,5,Group study,Late night,3~4 hours,
962,Electrical Engineering,Female,Pakistani,Sindh,4th,BS,Below Matric,Between 2Lac~3Lac,YES,YES,3,Matric,FSc/ ICS,81.65,87.5,3.89,3.67,3.92,A,3.82,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,4,3,3,3,2,2,2,3,3,4,4,4,4,5,4,4,4,5,5,4,2,3,2,4,3,3,5,4,5,5,5,5,5,5,3,4,1,2,5,3,3,Independent study,Day time,1~2 hours,
963,Electrical Engineering,Female,Pakistani,Federal/ Capital,4th,BS,MS,Between 2Lac~3Lac,YES,NO,5,Matric,FSc/ ICS,94,96,3.3,3.43,3.1,B,3.28,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,4,4,3,3,3,2,2,1,5,5,4,5,4,5,5,4,4,5,5,5,5,2,3,2,4,4,4,5,4,5,5,5,5,5,5,3,5,3,5,5,4,3,Independent study,Late night,3~4 hours,
964,Electrical Engineering,Male,Pakistani,Punjab,4th,Matric,Matric,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,81,80,3.43,3.52,3.47,B,3.47,B,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,5,2,3,2,2,2,1,2,1,5,5,5,5,5,5,5,5,4,4,5,4,5,3,5,5,5,5,5,4,4,4,3,5,5,5,5,1,5,3,4,3,4,4,Independent study,Day time,3~4 hours,
965,Electrical Engineering,Female,Pakistani,Punjab,4th,BS,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,88.9,77.6,2.88,2,2.89,C,2.58,C,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,2,2,2,2,1,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,2,4,2,Group study,Late night,3~4 hours,
966,Electrical Engineering,Female,Pakistani,Federal/ Capital,4th,Intermediate,BS,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,86,82,3.56,3,3.3,B,3.28,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,2,2,2,2,2,2,2,3,3,2,4,4,4,4,4,4,5,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,Independent study,Late night,3~4 hours,
967,Electrical Engineering,Female,Pakistani,Punjab,4th,MS,Below Matric,Between 1Lac~2Lac,NO,NO,2,Matric,FSc/ ICS,76.5,75,2.45,2.69,2.45,D,2.53,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,3,2,2,2,1,1,1,1,5,3,1,3,2,5,5,5,5,4,5,5,5,1,1,1,4,2,2,5,4,3,3,4,5,5,4,3,5,2,5,2,3,5,Independent study,Day time,1~2 hours,
968,Electrical Engineering,Male,Pakistani,Punjab,6th,Intermediate,Matric,Between 2Lac~3Lac,NO,NO,2,Matric,FSc/ ICS,78,66,2.52,2.68,1.4,E,2.21,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,3,5,2,4,2,3,3,1,5,5,4,5,4,4,4,4,4,4,4,4,4,1,3,4,4,3,3,4,3,4,5,4,4,3,4,3,5,5,5,3,5,5,Independent study,Late night,1~2 hours,
969,Electrical Engineering,Male,Pakistani,KPK,4th,Below Matric,Below Matric,Below 30K,NO,YES,5,Matric,FSc/ ICS,84.27,82.18,3.65,3.43,3.88,A,3.65,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,Notes taking has no relation with my academic performance,5,3,2,4,3,4,3,4,2,4,4,2,3,4,4,3,3,4,3,5,3,4,2,3,3,5,5,4,5,4,5,1,3,4,5,4,3,3,1,4,4,4,5,Independent study,Late night,3~4 hours,
970,Electrical Engineering,Male,Pakistani,Sindh,4th,MS,Intermediate,Between 1Lac~2Lac,NO,NO,1,Matric,FSc/ ICS,77,74,3.41,2.67,3.26,B,3.10,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,4,5,3,3,4,2,2,1,5,5,5,5,5,5,3,4,3,3,5,3,5,1,3,2,5,3,3,5,5,5,3,5,5,5,5,3,5,5,5,4,3,4,Independent study,Day time,3~4 hours,
971,Electrical Engineering,Male,Pakistani,Federal/ Capital,4th,Matric,Matric,Below 30K,YES,NO,3,Matric,FSc/ ICS,93.45,90.63,3.02,2.6,3.2,B,2.93,C,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,5,3,2,1,1,3,1,2,1,3,2,1,2,3,4,3,3,4,3,2,3,3,1,3,3,4,2,2,4,2,4,2,3,2,3,3,3,4,5,2,3,2,2,Independent study,Day time,3~4 hours,
972,Electrical Engineering,Male,Pakistani,Punjab,4th,Intermediate,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,93,78,2.7,2.45,2.98,C,2.70,C,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,1~2 hours,
973,Electrical Engineering,Male,Pakistani,Federal/ Capital,4th,Intermediate,Matric,Between 50K~1Lac,NO,NO,2,Matric,FSc/ ICS,73.09,77.27,2.01,1.99,2.09,D,2.03,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,4,2,2,2,2,3,1,4,2,3,4,3,4,5,5,5,5,5,4,4,3,3,2,3,2,2,4,2,3,2,3,2,3,2,4,4,3,5,3,3,2,Independent study,Day time,1~2 hours,
974,Electrical Engineering,Male,Pakistani,Punjab,4th,Intermediate,Intermediate,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,93,79,2.4,1.6,0,E,1.34,E,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Female instructor,Not more than 30,Only understand the concepts without noting them down,3,4,3,3,3,3,3,3,2,3,3,2,3,2,4,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,Group study,Late night,1~2 hours,
975,Electrical Engineering,Male,Pakistani,KPK,4th,BS,Matric,Between 1Lac~2Lac,YES,NO,5,Matric,FSc/ ICS,69,73,2.85,3.06,2.37,D,2.77,C,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Female instructor,Not more than 30,Notes taking has no relation with my academic performance,3,5,3,5,3,4,4,4,2,3,3,1,3,3,4,5,5,5,5,5,5,5,2,4,5,5,3,3,3,3,5,4,5,5,3,4,5,5,1,4,5,5,5,Independent study,Late night,7~8 hours,
976,Electrical Engineering,Male,Pakistani,Punjab,6th,Intermediate,MS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,79.91,68.91,2.43,2.7,1.4,E,2.19,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Middle row,Duration of lecture does not effect my performance,Male instructor,Not more than 40,Only understand the concepts without noting them down,4,4,4,3,3,4,3,3,2,3,3,2,2,4,4,5,4,5,4,4,4,5,2,4,5,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,3,4,5,Independent study,Day time,1~2 hours,
977,Aerospace Engineering,Male,Pakistani,Punjab,6th,MS,BS,Above 3Lac,YES,NO,5,Matric,FSc/ ICS,93.23,89.5,3.59,3.24,3.46,B,3.43,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 30,Only understand the concepts without noting them down,4,4,4,2,4,4,4,3,2,4,3,3,5,5,5,5,5,5,5,5,3,4,3,4,5,3,3,4,5,5,3,4,2,2,5,4,4,4,5,4,4,4,3,Independent study,Late night,3~4 hours,
978,Aerospace Engineering,Female,Pakistani,Punjab,6th,Matric,Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,89,94,2.97,3.3,2.91,C,3.07,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,2,2,3,2,2,2,1,5,5,5,4,3,4,5,5,3,3,4,4,5,3,3,2,4,3,3,2,2,1,2,3,1,2,2,3,3,3,4,4,4,3,Independent study,Day time,1~2 hours,
979,Aerospace Engineering,Male,Pakistani,Punjab,6th,BS,BS,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,89.5,68,1.59,2.6,2.22,D,2.15,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 50,I take notes during lecture,3,3,3,3,3,3,3,3,2,3,3,2,4,4,4,4,3,4,3,5,4,5,2,3,3,3,3,4,5,3,4,3,4,4,4,3,3,4,5,5,5,5,3,Group study,Late night,3~4 hours,
980,Aerospace Engineering,Male,Pakistani,Punjab,6th,Matric,MS,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,91.6,93.4,2.64,2.84,1.96,E,2.49,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,3,2,2,2,2,4,2,3,2,2,3,3,3,3,4,4,4,4,3,4,4,4,4,4,1,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,Group study,Late night,5~6 hours,
981,Aerospace Engineering,Male,Pakistani,Punjab,6th,BS,BS,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,93.09,88.18,2.12,2.75,2.52,C,2.47,D,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Male instructor,Not more than 30,Notes taking has no relation with my academic performance,4,3,4,5,4,4,2,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,2,4,4,5,2,4,4,3,4,4,4,4,2,5,5,5,5,5,5,Independent study,Late night,3~4 hours,
982,Aerospace Engineering,Male,Pakistani,Punjab,6th,BS,MS,Between 50K~1Lac,NO,NO,2,Cambridge,A-Level,84,82,3.63,3.63,3.59,A,3.62,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Middle row,1 hour,Male instructor,Not more than 30,Only understand the concepts without noting them down,4,2,3,4,3,4,2,2,2,1,1,2,3,4,3,4,4,4,4,4,5,5,3,4,4,4,3,3,4,3,2,3,2,2,2,2,2,4,2,2,5,4,3,Independent study,Late night,5~6 hours,
983,Aerospace Engineering,Female,Pakistani,Punjab,6th,MS,BS,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,90,88,2.01,2.87,2.15,D,2.35,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,2,5,2,3,2,3,1,1,4,5,5,5,5,3,5,5,3,5,5,3,3,2,3,3,4,3,3,4,4,4,5,4,5,4,4,3,4,4,5,4,4,2,Independent study,Day time,1~2 hours,
984,Aerospace Engineering,Male,Pakistani,Punjab,6th,BS,Matric,Between 1Lac~2Lac,NO,NO,5,Matric,FSc/ ICS,95.5,98,3.08,3.41,3.24,B,3.25,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,2,2,2,2,3,3,2,2,3,3,3,3,4,3,5,5,5,5,5,5,5,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,2,3,4,3,3,Group study,Late night,3~4 hours,
985,Aerospace Engineering,Male,Pakistani,KPK,6th,PhD/ Doctor,Intermediate,Between 2Lac~3Lac,NO,YES,4,Matric,FSc/ ICS,88,89,3.1,3.4,2.8,C,3.11,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,5,4,5,4,4,3,3,2,3,5,3,4,4,4,4,4,4,4,3,3,4,3,2,3,4,3,3,4,2,4,4,3,3,4,4,4,4,2,4,4,4,2,Independent study,Day time,5~6 hours,
986,Aerospace Engineering,Female,Pakistani,Punjab,6th,BS,BS,Between 50K~1Lac,NO,YES,4,Matric,FSc/ ICS,96,99,3.15,3.52,2.98,C,3.22,B,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,4,4,3,2,2,4,2,4,2,2,4,1,2,2,3,5,5,5,5,5,5,5,2,4,1,2,3,4,5,5,5,5,5,5,5,5,5,5,2,5,4,4,4,Independent study,Day time,3~4 hours,
987,Aerospace Engineering,Male,Pakistani,Punjab,6th,PhD/ Doctor,MS,Between 2Lac~3Lac,NO,NO,3,Cambridge,A-Level,85.44,83.41,2.67,2.92,2.56,C,2.72,C,Language does not effect my performance,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,1,2,3,1,2,2,1,2,4,3,1,2,1,4,5,5,4,4,5,4,4,4,3,5,4,3,3,3,4,4,3,4,3,3,4,2,4,5,5,5,5,3,Independent study,Late night,7~8 hours,
